1,,"{""주식"": 22.0, ""채권"": 30.3, ""현금 및 예금"": 11.9, ""펀드"": 30.2, ""기타"": 5.6}"
2,,"{""주식"": 4.9, ""채권"": 15.5, ""현금 및 예금"": 32.5, ""펀드"": 23.2, ""기타"": 23.9}"
3,,"{""주식"": 37.7, ""채권"": 33.7, ""현금 및 예금"": 1.6, ""펀드"": 14.8, ""기타"": 12.2}"
4,,"{""주식"": 16.9, ""채권"": 20.9, ""현금 및 예금"": 14.4, ""펀드"": 23.0, ""기타"": 24.8}"
5,,"{""주식"": 16.9, ""채권"": 10.3, ""현금 및 예금"": 32.1, ""펀드"": 18.9, ""기타"": 21.9}"
6,,"{""주식"": 38.4, ""채권"": 8.9, ""현금 및 예금"": 3.8, ""펀드"": 12.2, ""기타"": 36.7}"
7,,"{""주식"": 22.7, ""채권"": 7.3, ""현금 및 예금"": 28.3, ""펀드"": 13.9, ""기타"": 27.9}"
8,,"{""주식"": 6.3, ""채권"": 26.2, ""현금 및 예금"": 25.9, ""펀드"": 24.6, ""기타"": 17.1}"
9,,"{""주식"": 2.2, ""채권"": 36.6, ""현금 및 예금"": 46.0, ""펀드"": 4.5, ""기타"": 10.7}"
10,,"{""주식"": 14.9, ""채권"": 13.2, ""현금 및 예금"": 30.4, ""펀드"": 29.2, ""기타"": 12.3}"
11,,"{""주식"": 21.0, ""채권"": 34.2, ""현금 및 예금"": 15.2, ""펀드"": 17.7, ""기타"": 11.8}"
12,,"{""주식"": 39.5, ""채권"": 21.5, ""현금 및 예금"": 29.0, ""펀드"": 3.4, ""기타"": 6.6}"
13,,"{""주식"": 17.5, ""채권"": 36.3, ""현금 및 예금"": 22.1, ""펀드"": 6.4, ""기타"": 17.6}"
14,,"{""주식"": 10.0, ""채권"": 1.4, ""현금 및 예금"": 25.7, ""펀드"": 19.9, ""기타"": 43.0}"
15,,"{""주식"": 5.5, ""채권"": 38.2, ""현금 및 예금"": 18.9, ""펀드"": 16.9, ""기타"": 20.5}"
16,,"{""주식"": 0.3, ""채권"": 21.6, ""현금 및 예금"": 28.9, ""펀드"": 18.0, ""기타"": 31.2}"
17,,"{""주식"": 26.9, ""채권"": 31.8, ""현금 및 예금"": 4.9, ""펀드"": 34.9, ""기타"": 1.5}"
18,,"{""주식"": 25.7, ""채권"": 23.5, ""현금 및 예금"": 19.2, ""펀드"": 18.5, ""기타"": 13.1}"
19,,"{""주식"": 16.6, ""채권"": 23.2, ""현금 및 예금"": 23.5, ""펀드"": 20.4, ""기타"": 16.4}"
20,,"{""주식"": 8.7, ""채권"": 5.9, ""현금 및 예금"": 36.6, ""펀드"": 27.3, ""기타"": 21.5}"
21,,"{""주식"": 16.4, ""채권"": 6.3, ""현금 및 예금"": 24.5, ""펀드"": 28.0, ""기타"": 24.7}"
22,,"{""주식"": 4.9, ""채권"": 17.5, ""현금 및 예금"": 30.3, ""펀드"": 27.4, ""기타"": 19.9}"
23,,"{""주식"": 18.9, ""채권"": 1.3, ""현금 및 예금"": 26.1, ""펀드"": 25.8, ""기타"": 27.9}"
24,,"{""주식"": 7.7, ""채권"": 1.4, ""현금 및 예금"": 38.9, ""펀드"": 50.7, ""기타"": 1.3}"
25,,"{""주식"": 2.7, ""채권"": 45.2, ""현금 및 예금"": 20.0, ""펀드"": 1.2, ""기타"": 30.9}"
26,,"{""주식"": 19.7, ""채권"": 15.7, ""현금 및 예금"": 18.5, ""펀드"": 22.2, ""기타"": 23.9}"
27,,"{""주식"": 38.0, ""채권"": 16.2, ""현금 및 예금"": 6.6, ""펀드"": 0.7, ""기타"": 38.5}"
28,,"{""주식"": 29.9, ""채권"": 28.9, ""현금 및 예금"": 25.2, ""펀드"": 2.4, ""기타"": 13.6}"
29,,"{""주식"": 6.6, ""채권"": 38.1, ""현금 및 예금"": 11.1, ""펀드"": 15.4, ""기타"": 28.9}"
30,,"{""주식"": 16.9, ""채권"": 40.8, ""현금 및 예금"": 27.9, ""펀드"": 1.3, ""기타"": 13.2}"
31,,"{""주식"": 16.1, ""채권"": 16.2, ""현금 및 예금"": 21.0, ""펀드"": 23.2, ""기타"": 23.5}"
32,,"{""주식"": 27.7, ""채권"": 2.1, ""현금 및 예금"": 23.8, ""펀드"": 18.6, ""기타"": 27.8}"
33,,"{""주식"": 12.8, ""채권"": 16.7, ""현금 및 예금"": 22.6, ""펀드"": 24.9, ""기타"": 23.0}"
34,,"{""주식"": 14.6, ""채권"": 23.7, ""현금 및 예금"": 30.3, ""펀드"": 20.2, ""기타"": 11.3}"
35,,"{""주식"": 10.1, ""채권"": 18.6, ""현금 및 예금"": 23.0, ""펀드"": 24.3, ""기타"": 24.0}"
36,,"{""주식"": 1.2, ""채권"": 42.0, ""현금 및 예금"": 19.8, ""펀드"": 26.7, ""기타"": 10.3}"
37,,"{""주식"": 25.4, ""채권"": 24.2, ""현금 및 예금"": 27.6, ""펀드"": 11.1, ""기타"": 11.8}"
38,,"{""주식"": 17.7, ""채권"": 2.9, ""현금 및 예금"": 27.3, ""펀드"": 23.0, ""기타"": 29.1}"
39,,"{""주식"": 25.7, ""채권"": 10.7, ""현금 및 예금"": 21.9, ""펀드"": 13.5, ""기타"": 28.2}"
40,,"{""주식"": 26.2, ""채권"": 24.6, ""현금 및 예금"": 11.9, ""펀드"": 37.1, ""기타"": 0.2}"
41,,"{""주식"": 16.9, ""채권"": 28.4, ""현금 및 예금"": 30.8, ""펀드"": 15.6, ""기타"": 8.3}"
42,,"{""주식"": 16.1, ""채권"": 31.5, ""현금 및 예금"": 38.9, ""펀드"": 0.1, ""기타"": 13.4}"
