1,,9498,의료/건강,2025-06-26
2,,44647,패션/미용,2025-06-26
3,,137618,주거/공과금,2025-01-18
4,,138927,주거/공과금,2025-04-13
5,,8804,생필품,2025-05-23
6,,93380,기타,2025-04-29
7,,131932,문화생활/여가,2025-06-17
8,,74537,의료/건강,2025-03-14
9,,117327,의료/건강,2025-01-17
10,,93676,주거/공과금,2025-05-25
11,,133245,주거/공과금,2025-06-16
12,,27914,의료/건강,2025-07-13
13,,120637,패션/미용,2025-05-10
14,,799,교통비,2025-04-10
15,,51181,생필품,2025-06-28
16,,18101,패션/미용,2025-06-15
17,,96059,기타,2025-02-16
18,,145585,생필품,2025-04-10
19,,9780,의료/건강,2025-07-11
20,,48229,문화생활/여가,2025-05-26
21,,45014,교통비,2025-01-15
22,,74809,문화생활/여가,2025-07-22
23,,75448,주거/공과금,2025-03-30
24,,111013,기타,2025-02-22
25,,23829,주거/공과금,2025-06-08
26,,120984,기타,2025-07-30
27,,122921,교통비,2025-06-01
28,,63665,의료/건강,2025-05-26
29,,106484,식비,2025-01-27
30,,85729,기타,2025-04-30
31,,5398,패션/미용,2025-02-10
32,,77305,기타,2025-02-15
33,,35656,의료/건강,2025-04-08
34,,38306,주거/공과금,2025-06-18
35,,21289,교통비,2025-02-19
36,,136761,패션/미용,2025-01-27
37,,50736,주거/공과금,2025-02-01
38,,107676,식비,2025-01-23
39,,127252,생필품,2025-02-21
40,,89001,패션/미용,2025-01-14
41,,117367,기타,2025-06-18
42,,19458,주거/공과금,2025-04-23
43,,113829,생필품,2025-05-04
44,,129032,주거/공과금,2025-06-18
45,,63162,주거/공과금,2025-07-22
46,,111701,교통비,2025-03-25
47,,123076,문화생활/여가,2025-05-01
48,,76915,생필품,2025-03-05
49,,55384,교통비,2025-04-07
50,,142173,문화생활/여가,2025-02-25
51,,26042,주거/공과금,2025-03-14
52,,21239,기타,2025-07-09
53,,117161,식비,2025-03-06
54,,23993,기타,2025-04-27
55,,59937,교통비,2025-04-11
56,,72735,의료/건강,2025-01-01
57,,121774,생필품,2025-04-03
58,,55321,생필품,2025-03-27
59,,54408,패션/미용,2025-01-18
60,,101456,식비,2025-04-30
61,,123433,문화생활/여가,2025-04-27
62,,106889,의료/건강,2025-07-15
63,,130997,패션/미용,2025-01-09
64,,48342,교통비,2025-07-08
65,,111834,의료/건강,2025-07-15
66,,39200,의료/건강,2025-04-23
67,,23070,기타,2025-01-15
68,,40147,의료/건강,2025-04-17
69,,77368,식비,2025-01-16
70,,32518,생필품,2025-02-24
71,,49362,교통비,2025-06-09
72,,22798,문화생활/여가,2025-07-12
73,,4642,교통비,2025-04-02
74,,99882,식비,2025-03-12
75,,45907,식비,2025-06-08
76,,127727,문화생활/여가,2025-06-14
77,,92785,의료/건강,2025-04-20
78,,75303,주거/공과금,2025-02-02
79,,59484,생필품,2025-06-04
80,,61754,패션/미용,2025-02-07
81,,44103,의료/건강,2025-06-22
82,,94557,생필품,2025-01-25
83,,2021,문화생활/여가,2025-05-08
84,,113559,교통비,2025-01-03
85,,62013,교통비,2025-02-02
86,,146459,의료/건강,2025-01-19
87,,23830,식비,2025-03-09
88,,3735,기타,2025-04-30
89,,142676,주거/공과금,2025-02-14
90,,100378,패션/미용,2025-06-05
91,,76447,기타,2025-06-08
92,,57337,패션/미용,2025-03-23
93,,10329,기타,2025-06-19
94,,29929,패션/미용,2025-07-12
95,,137484,문화생활/여가,2025-04-26
96,,2993,문화생활/여가,2025-05-02
97,,52997,의료/건강,2025-05-16
98,,13351,의료/건강,2025-02-15
99,,13934,의료/건강,2025-05-06
100,,113081,문화생활/여가,2025-06-22
101,,124214,주거/공과금,2025-02-07
102,,20029,생필품,2025-05-02
103,,122720,패션/미용,2025-06-14
104,,113655,패션/미용,2025-07-19
105,,87486,문화생활/여가,2025-06-13
106,,4412,패션/미용,2025-04-22
107,,24335,교통비,2025-04-03
108,,2809,교통비,2025-06-08
109,,123561,생필품,2025-01-15
110,,6707,의료/건강,2025-05-31
111,,51434,패션/미용,2025-07-25
112,,18534,주거/공과금,2025-04-24
113,,32658,기타,2025-02-28
114,,15137,패션/미용,2025-04-25
115,,143773,교통비,2025-05-16
116,,135644,기타,2025-02-20
117,,10132,패션/미용,2025-06-30
118,,130759,교통비,2025-05-06
119,,65864,식비,2025-06-01
120,,93983,기타,2025-04-07
121,,12978,식비,2025-04-28
122,,140765,의료/건강,2025-06-16
123,,133212,교통비,2025-07-20
124,,32999,주거/공과금,2025-01-10
125,,41687,식비,2025-04-10
126,,89516,주거/공과금,2025-07-06
127,,35556,패션/미용,2025-02-08
128,,18756,패션/미용,2025-03-08
129,,27893,식비,2025-01-10
130,,16270,생필품,2025-03-06
131,,132401,문화생활/여가,2025-04-04
132,,53885,패션/미용,2025-06-30
133,,67552,의료/건강,2025-01-23
134,,4470,주거/공과금,2025-06-24
135,,21823,패션/미용,2025-05-29
136,,71942,식비,2025-06-23
137,,86950,패션/미용,2025-05-26
138,,33645,생필품,2025-05-03
139,,127268,패션/미용,2025-03-18
140,,31264,생필품,2025-02-16
141,,67569,주거/공과금,2025-06-05
142,,89094,기타,2025-04-20
143,,18123,의료/건강,2025-01-22
144,,127235,기타,2025-04-23
145,,8154,의료/건강,2025-04-21
146,,145631,패션/미용,2025-03-11
147,,73379,패션/미용,2025-03-21
148,,91926,패션/미용,2025-07-14
149,,86760,식비,2025-02-05
150,,13532,식비,2025-06-29
151,,58601,주거/공과금,2025-03-24
152,,14507,기타,2025-01-08
153,,43468,의료/건강,2025-03-27
154,,69737,주거/공과금,2025-03-02
155,,112398,패션/미용,2025-05-27
156,,13779,생필품,2025-03-09
157,,20143,식비,2025-02-13
158,,21251,기타,2025-07-22
159,,762,주거/공과금,2025-01-09
160,,34457,문화생활/여가,2025-07-02
161,,96669,주거/공과금,2025-06-05
162,,123430,교통비,2025-06-22
163,,95361,의료/건강,2025-07-11
164,,103142,식비,2025-04-18
165,,33269,주거/공과금,2025-03-08
166,,44975,주거/공과금,2025-03-07
167,,119055,주거/공과금,2025-05-30
168,,35936,의료/건강,2025-05-03
169,,114068,기타,2025-06-22
170,,105237,기타,2025-03-25
171,,47872,식비,2025-07-25
172,,57614,기타,2025-07-30
173,,130972,패션/미용,2025-03-01
174,,114310,패션/미용,2025-06-21
175,,82687,패션/미용,2025-03-21
176,,71634,생필품,2025-03-20
177,,136842,주거/공과금,2025-07-20
178,,78332,의료/건강,2025-05-14
179,,61533,기타,2025-05-13
180,,69173,문화생활/여가,2025-03-07
181,,106939,패션/미용,2025-05-12
182,,78493,식비,2025-02-23
183,,141041,식비,2025-01-19
184,,111424,생필품,2025-02-04
185,,139296,교통비,2025-07-24
186,,63315,문화생활/여가,2025-07-27
187,,133140,패션/미용,2025-01-16
188,,78933,교통비,2025-01-04
189,,124689,의료/건강,2025-02-04
190,,145271,주거/공과금,2025-04-08
191,,39921,기타,2025-07-10
192,,130874,주거/공과금,2025-01-07
193,,40903,생필품,2025-05-13
194,,95186,의료/건강,2025-03-24
195,,30785,교통비,2025-02-04
196,,115530,의료/건강,2025-06-12
197,,102608,교통비,2025-06-26
198,,75856,생필품,2025-04-27
199,,21607,문화생활/여가,2025-03-21
200,,138387,주거/공과금,2025-02-18
201,,119390,패션/미용,2025-05-17
202,,10567,교통비,2025-07-11
203,,69763,의료/건강,2025-04-06
204,,24304,주거/공과금,2025-05-16
205,,106092,기타,2025-05-27
206,,115070,교통비,2025-07-26
207,,954,생필품,2025-06-09
208,,75032,식비,2025-05-13
209,,110908,문화생활/여가,2025-06-05
210,,45673,기타,2025-07-30
211,,141288,교통비,2025-07-26
212,,55250,문화생활/여가,2025-02-05
